sentence,sentence #,word,POS,tag
sentence1,sentence1,HOUSE,NNP,O
sentence1,,RENTAL,NNP,O
sentence1,,AGREEMENT,NNP,O
sentence2,sentence2,Rental,NNP,O
sentence2,,Agreement,NNP,O
sentence2,,made,VBD,O
sentence2,,on,IN,O
sentence2,,Jan,NNP,O
sentence2,,10,CD,O
sentence2,,2011,CD,O
sentence2,,between,IN,O
sentence2,,Namashivayam,NNP,B-partyone
sentence2,,Plat,NNP,O
sentence2,,No,NNP,O
sentence2,,182,CD,O
sentence2,,Door,NNP,O
sentence2,,No,NNP,O
sentence2,,16,CD,O
sentence2,,New,NNP,O
sentence2,,10,CD,O
sentence2,,Old,NNP,O
sentence2,,24th,CD,O
sentence2,,East,NNP,O
sentence2,,Street,NNP,O
sentence2,,Kamaraj,NNP,O
sentence2,,Nagar,NNP,O
sentence2,,Thiruvanmiyur,NNP,O
sentence2,,Chennai,NNP,O
sentence2,,hereinafter,NN,O
sentence2,,referred,VBD,O
sentence2,,to,TO,O
sentence2,,as,IN,O
sentence2,,landlord,NN,O
sentence2,,of,IN,O
sentence2,,the,DT,O
sentence2,,house,NN,O
sentence2,,and,CC,O
sentence2,,Mrs,NNP,B-partytwo
sentence2,,Thenmalar,NNP,I-partytwo
sentence2,,W,NNP,O
sentence2,,O,NNP,O
sentence2,,Xavier,NNP,O
sentence2,,Kottaikadu,NNP,O
sentence2,,PO,NNP,O
sentence2,,Vadakadu,NNP,O
sentence2,,Via,NNP,O
sentence2,,Pudukkottai,NNP,O
sentence2,,Dt,NNP,O
sentence2,,hereinafter,NN,O
sentence2,,referred,VBD,O
sentence2,,to,TO,O
sentence2,,as,IN,O
sentence2,,tenant,NN,O
sentence2,,of,IN,O
sentence2,,the,DT,O
sentence2,,First,NNP,O
sentence2,,floor,NN,O
sentence2,,portion,NN,O
sentence2,,of,IN,O
sentence2,,the,DT,O
sentence2,,building,NN,O
sentence3,sentence3,WHERE,NNP,O
sentence3,,IT,NNP,O
sentence3,,IS,NNP,O
sentence3,,AGREED,NNP,O
sentence3,,AND,NNP,O
sentence3,,DECLARED,NNP,O
sentence3,,AS,NNP,O
sentence3,,FOLLOWS,NNP,O
sentence4,sentence4,The,DT,O
sentence4,,Landlord,NNP,O
sentence4,,agrees,VBZ,O
sentence4,,to,TO,O
sentence4,,let,VB,O
sentence4,,out,RP,O
sentence4,,and,CC,O
sentence4,,the,DT,O
sentence4,,tenant,NN,O
sentence4,,agrees,VBZ,O
sentence4,,to,TO,O
sentence4,,take,VB,O
sentence4,,on,IN,O
sentence4,,rent,NN,O
sentence4,,the,DT,O
sentence4,,First,NNP,O
sentence4,,floor,NN,O
sentence4,,portion,NN,O
sentence4,,of,IN,O
sentence4,,the,DT,O
sentence4,,building,NN,O
sentence4,,Plat,NNP,O
sentence4,,No,NNP,O
sentence4,,182,CD,O
sentence4,,Door,NNP,O
sentence4,,No,NNP,O
sentence4,,16,CD,O
sentence4,,New,NNP,O
sentence4,,10,CD,O
sentence4,,Old,NNP,O
sentence4,,24th,CD,O
sentence4,,East,NNP,O
sentence4,,Street,NNP,O
sentence4,,Kamaraj,NNP,O
sentence4,,Nagar,NNP,O
sentence4,,Thiruvanmiyur,NNP,O
sentence4,,along,IN,O
sentence4,,with,IN,O
sentence4,,electrical,JJ,O
sentence4,,and,CC,O
sentence4,,sanitary,JJ,O
sentence4,,fittings,NNS,O
sentence4,,and,CC,O
sentence4,,other,JJ,O
sentence4,,accessories,NNS,O
sentence4,,fittings,NNS,O
sentence4,,and,CC,O
sentence4,,structures,NNS,O
sentence4,,hereinafter,NN,O
sentence4,,called,VBD,O
sentence4,,the,DT,O
sentence4,,premises,NNS,O
sentence4,,from,IN,O
sentence4,,Jan,NNP,B-startdate
sentence4,,10,CD,I-startdate
sentence4,,2011,CD,I-startdate
sentence4,,at,IN,O
sentence4,,the,DT,O
sentence4,,monthly,JJ,O
sentence4,,rent,NN,O
sentence4,,of,IN,O
sentence4,,Rs,NNP,O
sentence4,,14500,CD,O
sentence4,,Fourteen,NNP,O
sentence4,,thousand,CD,O
sentence4,,and,CC,O
sentence4,,five,CD,O
sentence4,,hundred,VBD,O
sentence4,,rupees,NNS,O
sentence4,,being,VBG,O
sentence4,,payable,JJ,O
sentence4,,on,IN,O
sentence4,,or,CC,O
sentence4,,before,IN,O
sentence4,,5th,CD,O
sentence4,,of,IN,O
sentence4,,every,DT,O
sentence4,,month,NN,O
sentence4,,to,TO,O
sentence4,,the,DT,O
sentence4,,Landlord,NNP,O
sentence4,,The,DT,O
sentence4,,period,NN,O
sentence4,,of,IN,O
sentence4,,this,DT,O
sentence4,,agreement,NN,O
sentence4,,shall,MD,O
sentence4,,be,VB,O
sentence4,,twelve,JJ,B-end
sentence4,,months,NNS,I-end
sentence4,,w,IN,O
sentence4,,e,NN,O
sentence4,,f,NNS,O
sentence4,,Jan,NNP,O
sentence4,,10,CD,O
sentence4,,2011,CD,O
sentence5,sentence5,The,DT,O
sentence5,,tenant,NN,O
sentence5,,has,VBZ,O
sentence5,,paid,VBN,O
sentence5,,Rs,NNP,B-value
sentence5,,100000,CD,I-value
sentence5,,0ne,CD,B-value
sentence5,,lack,NN,I-value
sentence5,,Rupees,NNP,I-value
sentence5,,as,IN,O
sentence5,,advance,NN,O
sentence5,,amount,NN,O
sentence5,,for,IN,O
sentence5,,the,DT,O
sentence5,,above,JJ,O
sentence5,,building,NN,O
sentence5,,and,CC,O
sentence5,,the,DT,O
sentence5,,landlord,JJ,O
sentence5,,shall,MD,O
sentence5,,pay,VB,O
sentence5,,this,DT,O
sentence5,,said,VBD,O
sentence5,,advance,NN,O
sentence5,,without,IN,O
sentence5,,interest,NN,O
sentence5,,to,TO,O
sentence5,,the,DT,O
sentence5,,tenant,NN,O
sentence5,,at,IN,O
sentence5,,the,DT,O
sentence5,,time,NN,O
sentence5,,of,IN,O
sentence5,,vacating,VBG,O
sentence5,,the,DT,O
sentence5,,premises,NNS,O
sentence5,,or,CC,O
sentence5,,within,IN,O
sentence5,,12,CD,B-end
sentence5,,months,NNS,I-end
sentence5,,of,IN,O
sentence5,,commencement,NN,O
sentence5,,of,IN,O
sentence5,,this,DT,O
sentence5,,agreement,NN,O
sentence5,,whichever,NN,O
sentence5,,is,VBZ,O
sentence5,,earlier,JJR,O
sentence6,sentence6,At,IN,O
sentence6,,the,DT,O
sentence6,,termination,NN,O
sentence6,,of,IN,O
sentence6,,the,DT,O
sentence6,,period,NN,O
sentence6,,of,IN,O
sentence6,,tenancy,NN,O
sentence6,,the,DT,O
sentence6,,tenant,NN,O
sentence6,,agrees,VBZ,O
sentence6,,to,TO,O
sentence6,,surrender,VB,O
sentence6,,to,TO,O
sentence6,,the,DT,O
sentence6,,Landlord,NNP,O
sentence6,,the,DT,O
