word,POS,tag
SOS,NNP,O
HOUSE,NNP,O
RENTAL,NNP,O
AGREEMENT,NNP,O
SOS,NNP,O
Rental,NNP,O
Agreement,NNP,O
made,VBD,O
on,IN,O
Jan,NNP,O
10,CD,O
2011,CD,O
between,IN,O
Namashivayam,NNP,B-partyone
Plat,NNP,O
No,NNP,O
182,CD,O
Door,NNP,O
No,NNP,O
16,CD,O
New,NNP,O
10,CD,O
Old,NNP,O
24th,CD,O
East,NNP,O
Street,NNP,O
Kamaraj,NNP,O
Nagar,NNP,O
Thiruvanmiyur,NNP,O
Chennai,NNP,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
landlord,NN,O
of,IN,O
the,DT,O
house,NN,O
and,CC,O
Mrs,NNP,B-partytwo
Thenmalar,NNP,I-partytwo
W,NNP,O
O,NNP,O
Xavier,NNP,O
Kottaikadu,NNP,O
PO,NNP,O
Vadakadu,NNP,O
Via,NNP,O
Pudukkottai,NNP,O
Dt,NNP,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
tenant,NN,O
of,IN,O
the,DT,O
First,NNP,O
floor,NN,O
portion,NN,O
of,IN,O
the,DT,O
building,NN,O
SOS,NNP,O
WHERE,NNP,O
IT,NNP,O
IS,NNP,O
AGREED,NNP,O
AND,NNP,O
DECLARED,NNP,O
AS,NNP,O
FOLLOWS,NNP,O
SOS,NNP,O
The,DT,O
Landlord,NNP,O
agrees,VBZ,O
to,TO,O
let,VB,O
out,RP,O
and,CC,O
the,DT,O
tenant,NN,O
agrees,VBZ,O
to,TO,O
take,VB,O
on,IN,O
rent,NN,O
the,DT,O
First,NNP,O
floor,NN,O
portion,NN,O
of,IN,O
the,DT,O
building,NN,O
Plat,NNP,O
No,NNP,O
182,CD,O
Door,NNP,O
No,NNP,O
16,CD,O
New,NNP,O
10,CD,O
Old,NNP,O
24th,CD,O
East,NNP,O
Street,NNP,O
Kamaraj,NNP,O
Nagar,NNP,O
Thiruvanmiyur,NNP,O
along,IN,O
with,IN,O
electrical,JJ,O
and,CC,O
sanitary,JJ,O
fittings,NNS,O
and,CC,O
other,JJ,O
accessories,NNS,O
fittings,NNS,O
and,CC,O
structures,NNS,O
hereinafter,NN,O
called,VBD,O
the,DT,O
premises,NNS,O
from,IN,O
Jan,NNP,B-startdate
10,CD,I-startdate
2011,CD,I-startdate
at,IN,O
the,DT,O
monthly,JJ,O
rent,NN,O
of,IN,O
Rs,NNP,O
14500,CD,O
Fourteen,NNP,O
thousand,CD,O
and,CC,O
five,CD,O
hundred,VBD,O
rupees,NNS,O
being,VBG,O
payable,JJ,O
on,IN,O
or,CC,O
before,IN,O
5th,CD,O
of,IN,O
every,DT,O
month,NN,O
to,TO,O
the,DT,O
Landlord,NNP,O
The,DT,O
period,NN,O
of,IN,O
this,DT,O
agreement,NN,O
shall,MD,O
be,VB,O
twelve,JJ,B-end
months,NNS,I-end
w,IN,O
e,NN,O
f,NNS,O
Jan,NNP,O
10,CD,O
2011,CD,O
SOS,NNP,O
The,DT,O
tenant,NN,O
has,VBZ,O
paid,VBN,O
Rs,NNP,B-value
100000,CD,I-value
0ne,CD,B-value
lack,NN,I-value
Rupees,NNP,I-value
as,IN,O
advance,NN,O
amount,NN,O
for,IN,O
the,DT,O
above,JJ,O
building,NN,O
and,CC,O
the,DT,O
landlord,JJ,O
shall,MD,O
pay,VB,O
this,DT,O
said,VBD,O
advance,NN,O
without,IN,O
interest,NN,O
to,TO,O
the,DT,O
tenant,NN,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
vacating,VBG,O
the,DT,O
premises,NNS,O
or,CC,O
within,IN,O
12,CD,B-end
months,NNS,I-end
of,IN,O
commencement,NN,O
of,IN,O
this,DT,O
agreement,NN,O
whichever,NN,O
is,VBZ,O
earlier,RBR,O
SOS,NNP,O
At,IN,O
the,DT,O
termination,NN,O
of,IN,O
the,DT,O
period,NN,O
of,IN,O
tenancy,NN,O
the,DT,O
tenant,NN,O
agrees,VBZ,O
to,TO,O
surrender,VB,O
to,TO,O
the,DT,O
Landlord,NNP,O
the,DT,O
vacant,JJ,O
possession,NN,O
of,IN,O
the,DT,O
premises,NNS,O
without,IN,O
raising,VBG,O
any,DT,O
objection,NN,O
SOS,NNP,O
This,DT,O
rental,JJ,O
agreement,NN,O
can,MD,O
be,VB,O
terminated,VBN,O
at,IN,O
any,DT,O
time,NN,O
by,IN,O
three,CD,B-notice
months,NNS,I-notice
notice,RB,O
on,IN,O
either,CC,O
side,NN,O
and,CC,O
on,IN,O
such,JJ,O
termination,NN,O
the,DT,O
tenant,NN,O
shall,MD,O
surrender,VB,O
the,DT,O
vacant,JJ,O
possession,NN,O
of,IN,O
the,DT,O
premises,NNS,O
to,TO,O
the,DT,O
Landlord,NNP,O
SOS,NNP,O
If,IN,O
for,IN,O
by,IN,O
any,DT,O
reason,NN,O
the,DT,O
tenant,NN,O
occupies,VBZ,O
the,DT,O
building,NN,O
for,IN,O
a,DT,O
period,NN,O
that,WDT,O
includes,VBZ,O
part,NN,O
of,IN,O
a,DT,O
month,NN,O
it,PRP,O
is,VBZ,O
agreed,VBN,O
that,IN,O
the,DT,O
rent,NN,O
will,MD,O
be,VB,O
charged,VBN,O
on,IN,O
a,DT,O
pro,JJ,O
rated,VBN,O
basis,NN,O
for,IN,O
that,DT,O
month,NN,O
SOS,VBD,O
The,DT,O
landlord,NN,O
shall,MD,O
pay,VB,O
all,DT,O
existing,VBG,O
and,CC,O
future,JJ,O
taxes,NNS,O
rates,NNS,O
and,CC,O
assessments,NNS,O
in,IN,O
respect,NN,O
of,IN,O
the,DT,O
lease,NN,O
hold,NN,O
including,VBG,O
the,DT,O
municipal,JJ,O
or,CC,O
other,JJ,O
tax,NN,O
assessed,VBN,O
by,IN,O
a,DT,O
local,JJ,O
authority,NN,O
on,IN,O
the,DT,O
value,NN,O
of,IN,O
the,DT,O
building,NN,O
or,CC,O
annual,JJ,O
letting,VBG,O
value,NN,O
of,IN,O
the,DT,O
building,NN,O
and,CC,O
all,DT,O
other,JJ,O
rates,NNS,O
taxes,NNS,O
and,CC,O
assessments,NNS,O
levied,VBN,O
by,IN,O
any,DT,O
authority,NN,O
whatsoever,RB,O
SOS,NNP,O
The,DT,O
tenant,NN,O
shall,MD,O
pay,VB,O
the,DT,O
electricity,NN,O
and,CC,O
water,NN,O
supply,NN,O
charges,NNS,O
for,IN,O
the,DT,O
period,NN,O
of,IN,O
time,NN,O
he,PRP,O
occupies,VBZ,O
the,DT,O
premises,NNS,O
SOS,NNP,O
The,DT,O
tenant,NN,O
agrees,VBZ,O
to,TO,O
leave,VB,O
at,IN,O
the,DT,O
end,NN,O
of,IN,O
tenancy,NN,O
the,DT,O
premises,NNS,O
in,IN,O
good,JJ,O
condition,NN,O
as,IN,O
they,PRP,O
are,VBP,O
now,RB,O
subject,JJ,O
to,TO,O
reasonable,JJ,O
wear,NN,O
and,CC,O
tear,JJ,O
SOS,NNP,O
The,DT,O
tenant,NN,O
also,RB,O
agreed,VBD,O
not,RB,O
to,TO,O
let,VB,O
out,RP,O
the,DT,O
building,NN,O
or,CC,O
a,DT,O
portion,NN,O
of,IN,O
it,PRP,O
to,TO,O
anybody,NN,O
else,RB,O
SOS,NNP,O
The,DT,O
tenant,NN,O
shall,MD,O
not,RB,O
commit,VB,O
any,DT,O
act,NN,O
of,IN,O
waste,NN,O
in,IN,O
the,DT,O
premises,NNS,O
SOS,NNP,O
11,CD,O
The,DT,O
tenant,NN,O
also,RB,O
agrees,VBZ,O
to,TO,O
make,VB,O
any,DT,O
maintenance,NN,O
on,IN,O
the,DT,O
building,NN,O
as,IN,O
mutually,RB,O
agreed,VBN,O
upon,IN,O
by,IN,O
the,DT,O
tenant,NN,O
and,CC,O
the,DT,O
landlord,NN,O
and,CC,O
the,DT,O
said,VBD,O
expenses,NNS,O
shall,MD,O
be,VB,O
adjusted,VBN,O
against,IN,O
the,DT,O
rent,NN,O
amount,NN,O
due,JJ,O
to,TO,O
the,DT,O
landlord,NN,O
SOS,NNP,O
12,CD,O
The,DT,O
landlord,NN,O
shall,MD,O
retain,VB,O
the,DT,O
original,NN,O
of,IN,O
this,DT,O
agreement,NN,O
and,CC,O
the,DT,O
tenant,NN,O
shall,MD,O
retain,VB,O
its,PRP$,O
duplicate,NN,O
SOS,NNP,O
WITNESS,NNP,O
WHERE,NNP,O
OF,NNP,O
Namashivayam,NNP,O
the,DT,O
landlord,NN,O
and,CC,O
Mrs,NNP,O
Thenmalar,NNP,O
the,DT,O
tenant,NN,O
have,VBP,O
affixed,VBN,O
their,PRP$,O
signatures,NNS,O
on,IN,O
Jan,NNP,O
10,CD,O
2011,CD,O
SOS,NNP,O
Land,NNP,O
Lord,NNP,O
SOS,NNP,O
Tenant,NNP,O
SOS,NNP,O
Witness,NNP,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
ROOM,NNP,O
RENTAL,NNP,O
AGREEMENT,NNP,O
SOS,NNP,O
This,DT,O
is,VBZ,O
a,DT,O
legally,RB,O
binding,JJ,O
agreement,NN,O
It,PRP,O
is,VBZ,O
intended,VBN,O
to,TO,O
promote,VB,O
household,NN,O
harmony,NN,O
by,IN,O
clarifying,VBG,O
die,JJ,O
expectations,NNS,O
and,CC,O
responsibilities,NNS,O
of,IN,O
the,DT,O
homeowner,NN,O
or,CC,O
Principal,NNP,O
Tenant,NNP,O
Landlords,NNP,O
and,CC,O
Tenant,NNP,O
when,WRB,O
they,PRP,O
share,NN,O
the,DT,O
same,JJ,O
home,NN,O
The,DT,O
term,NN,O
xe2,NNP,O
x80,NNP,O
x9cLandlord,NNP,O
xe2,NNP,O
x80,NNP,O
x9d,NNP,O
refers,NNS,O
to,TO,O
either,DT,O
homeowner,NN,O
or,CC,O
Principal,NNP,O
Tenant,NNP,O
SOS,NNP,O
Landlord,NNP,O
shall,MD,O
provide,VB,O
a,DT,O
copy,NN,O
of,IN,O
this,DT,O
executed,VBN,O
signed,VBD,O
document,NN,O
to,TO,O
the,DT,O
Tenant,NNP,O
as,IN,O
required,VBN,O
by,IN,O
law,NN,O
SOS,NN,O
Terms,NNS,O
SOS,NNP,O
Length,NNP,O
of,IN,O
Agreement,NNP,O
Month,NNP,O
to,TO,O
Month,NNP,O
SOS,NNP,O
Either,NNP,O
party,NN,O
may,MD,O
cancel,VB,O
or,CC,O
change,VB,O
terms,NNS,O
of,IN,O
this,DT,O
agreement,NN,O
upon,IN,O
thirty,JJ,O
30,CD,B-notice
days,NNS,I-notice
WRITTEN,NNP,O
notice,VBP,O
The,DT,O
notice,JJ,O
period,NN,O
may,MD,O
be,VB,O
lengthened,VBN,O
or,CC,O
shortened,VBN,O
by,IN,O
WRITTEN,NNP,O
agreement,NN,O
but,CC,O
no,DT,O
less,JJR,O
than,IN,O
7,CD,O
days,NNS,O
SOS,NNP,O
Rent,NNP,O
SOS,NNP,O
y,NNP,O
k0_0,NNP,O
t_,NN,O
is,VBZ,O
payable,JJ,O
monthly,RB,O
on,IN,O
the,DT,O
tLh,NN,O
tday,NN,O
of,IN,O
the,DT,O
month,NN,O
to,TO,O
SOS,NNP,O
Rent,NNP,O
jS,NN,O
does,VBZ,O
CJdoes,NNP,O
not,RB,O
include,VB,O
utilities,NNS,O
If,IN,O
it,PRP,O
does,VBZ,O
not,RB,O
utility,NN,O
bills,NNS,O
will,MD,O
be,VB,O
apportioned,VBN,O
as,IN,O
follows,VBZ,O
SOS,NNP,O
Gas,NNP,O
Electricity,NNP,O
Tenant,NNP,O
pays,VBZ,O
t0,JJ,O
o,NN,O
of,IN,O
monthly,JJ,O
bill,NN,O
SOS,NNP,O
D,NNP,O
Water,NNP,O
Garbage,NNP,O
Tenant,NNP,O
pays,VBZ,O
t,VB,O
xc2,NNP,O
xb0,NNP,O
o,NN,O
of,IN,O
monthly,JJ,O
bill,NN,O
SOS,NNP,O
Phone,NNP,O
Tenant,NNP,O
pays,VBZ,O
t0,JJ,O
o,NN,O
of,IN,O
monthly,JJ,O
bill,NN,O
plus,CC,O
personal,JJ,O
long,JJ,O
distance,NN,O
calls,VBZ,O
SOS,NNP,O
D,NNP,O
Other,JJ,O
t,NN,O
tTenant,JJ,O
pays,NNS,O
xe2,VBP,O
x80,JJ,O
x9e,NNP,O
t0,NN,O
o,NN,O
of,IN,O
monthly,JJ,O
bill,NN,O
SOS,NNP,O
Conflict,NNP,O
Resolution,NNP,O
SOS,NNP,O
Each,DT,O
housemate,NN,O
will,MD,O
strive,VB,O
to,TO,O
develop,VB,O
mutual,JJ,O
cooperation,NN,O
with,IN,O
all,DT,O
other,JJ,O
housemates,NNS,O
Should,MD,O
disagreements,VB,O
arise,VB,O
each,DT,O
shall,MD,O
try,VB,O
to,TO,O
resolve,VB,O
the,DT,O
dispute,NN,O
in,IN,O
good,JJ,O
faith,NN,O
using,VBG,O
clear,JJ,O
communication,NN,O
If,IN,O
disputes,NNS,O
continue,VBP,O
thereafter,RB,O
the,DT,O
housemates,NNS,O
agree,VBP,O
to,TO,O
the,DT,O
following,JJ,O
methods,NNS,O
of,IN,O
conflict,NN,O
resolution,NN,O
SOS,NNP,O
D,NNP,O
Decision,NNP,O
by,IN,O
household,NN,O
consensus,NN,O
D,NNP,O
Mediation,NNP,O
by,IN,O
impartial,JJ,O
third,JJ,O
party,NN,O
xe2,NNP,O
x96,NNP,O
xa1,NNP,O
Decision,NNP,O
by,IN,O
household,NN,O
majority,NN,O
vote,NN,O
SOS,NNP,O
Privacy,NNP,O
SOS,NNP,O
As,IN,O
required,VBN,O
by,IN,O
law,NN,O
die,NN,O
landlord,NN,O
may,MD,O
enter,VB,O
the,DT,O
tenant,NN,O
s,NN,O
room,NN,O
only,RB,O
for,IN,O
the,DT,O
following,JJ,O
reasons,NNS,O
a,DT,O
in,IN,O
case,NN,O
of,IN,O
emergency,NN,O
b,NN,O
to,TO,O
make,VB,O
necessary,JJ,O
or,CC,O
agreed,VBN,O
upon,IN,O
repairs,NNS,O
decorations,NNS,O
or,CC,O
improvements,NNS,O
supply,VBP,O
necessary,JJ,O
or,CC,O
agreed,VBN,O
upon,IN,O
services,NNS,O
or,CC,O
exhibit,VB,O
the,DT,O
dwelling,VBG,O
unit,NN,O
to,TO,O
prospective,JJ,O
or,CC,O
actual,JJ,O
purchasers,NNS,O
mortgagees,NNS,O
tenants,NNS,O
workers,NNS,O
or,CC,O
contractors,NNS,O
c,VBP,O
when,WRB,O
the,DT,O
tenant,NN,O
has,VBZ,O
abandoned,VBN,O
or,CC,O
surrendered,VBN,O
the,DT,O
premises,NNS,O
or,CC,O
d,NN,O
pursuant,NN,O
to,TO,O
court,NN,O
order,NN,O
The,DT,O
landlord,NN,O
must,MD,O
give,VB,O
the,DT,O
tenant,NN,O
b,NN,O
gfs,NN,O
notice,NN,O
of,IN,O
intent,NN,O
to,TO,O
enter,VB,O
and,CC,O
may,MD,O
enter,VB,O
only,RB,O
during,IN,O
normal,JJ,O
business,NN,O
hours,NNS,O
excepting,VBG,O
by,IN,O
necessity,NN,O
cases,NNS,O
a,DT,O
and,CC,O
c,NN,O
above,IN,O
SOS,NNP,O
Deposits,NNP,O
SOS,NNP,O
Last,JJ,O
mop,NN,O
s,VBD,O
rent,JJ,O
Security,NNP,O
deposit,NN,O
SOS,NNP,O
This,DT,O
xe2,NNP,O
x80,NNP,O
x9cother,NNP,O
xe2,NNP,O
x80,NNP,O
x9d,NNP,O
deposit,NN,O
is,VBZ,O
refundablmvithin,JJ,O
tdays,NNS,O
after,IN,O
tenant,JJ,O
SOS,NNP,O
vacates,VBZ,O
the,DT,O
premises,NNS,O
If,IN,O
any,DT,O
pomonyof,NN,O
it,PRP,O
